image_path,label
D:\Downloadf\gestures_resized\gestures\03_fist\frame_05_03_0154.png,Fist
D:\Downloadf\gestures_resized\gestures\10_down\frame_02_10_0175.png,Palm
D:\Downloadf\gestures_resized\gestures\04_fist_moved\frame_03_04_0149.png,Fist
D:\Downloadf\gestures_resized\gestures\04_fist_moved\WIN_20260217_22_21_36_Pro (2).jpg,Fist
D:\Downloadf\gestures_resized\gestures\08_palm_moved\frame_05_08_0068.png,Palm
D:\Downloadf\gestures_resized\gestures\01_palm\frame_07_01_0176.png,Palm
D:\Downloadf\gestures_resized\gestures\01_palm\frame_04_01_0104.png,Palm
D:\Downloadf\gestures_resized\gestures\01_palm\WIN_20260220_00_02_04_Pro (2).jpg,Palm
D:\Downloadf\gestures_resized\gestures\04_fist_moved\WIN_20260217_20_42_36_Pro.jpg,Fist
D:\Downloadf\gestures_resized\gestures\08_palm_moved\frame_02_08_0005.png,Palm
D:\Downloadf\gestures_resized\gestures\01_palm\frame_08_01_0196.png,Palm
D:\Downloadf\gestures_resized\gestures\03_fist\WIN_20260217_20_36_02_Pro.jpg,Fist
D:\Downloadf\gestures_resized\gestures\04_fist_moved\frame_06_04_0036.png,Fist
D:\Downloadf\gestures_resized\gestures\01_palm\WIN_20260217_17_31_03_Pro.jpg,Palm
D:\Downloadf\gestures_resized\gestures\08_palm_moved\WIN_20260217_22_19_41_Pro (2).jpg,Palm
D:\Downloadf\gestures_resized\gestures\03_fist\WIN_20260217_22_04_38_Pro (4).jpg,Fist
D:\Downloadf\gestures_resized\gestures\01_palm\WIN_20260220_00_03_54_Pro (2).jpg,Palm
D:\Downloadf\gestures_resized\gestures\10_down\frame_06_10_0012.png,Palm
D:\Downloadf\gestures_resized\gestures\03_fist\frame_07_03_0118.png,Fist
D:\Downloadf\gestures_resized\gestures\03_fist\WIN_20260217_22_04_58_Pro (5).jpg,Fist
D:\Downloadf\gestures_resized\gestures\03_fist\Right\frame_09_03_0042.png,Fist
D:\Downloadf\gestures_resized\gestures\01_palm\frame_03_01_0160.png,Palm
D:\Downloadf\gestures_resized\gestures\10_down\frame_08_10_0020.png,Palm
D:\Downloadf\gestures_resized\gestures\03_fist\frame_06_03_0071.png,Fist
D:\Downloadf\gestures_resized\gestures\03_fist\Right\frame_09_03_0086.png,Fist
D:\Downloadf\gestures_resized\gestures\01_palm\WIN_20260217_20_09_12_Pro.jpg,Palm
D:\Downloadf\gestures_resized\gestures\10_down\frame_02_10_0013.png,Palm
D:\Downloadf\gestures_resized\gestures\01_palm\WIN_20260220_00_01_46_Pro (2).jpg,Palm
D:\Downloadf\gestures_resized\gestures\08_palm_moved\WIN_20260217_18_35_16_Pro (2).jpg,Palm
D:\Downloadf\gestures_resized\gestures\01_palm\frame_08_01_0032.png,Palm
D:\Downloadf\gestures_resized\gestures\08_palm_moved\frame_04_08_0197.png,Palm
D:\Downloadf\gestures_resized\gestures\03_fist\WIN_20260217_19_13_44_Pro.jpg,Fist
D:\Downloadf\gestures_resized\gestures\01_palm\WIN_20260220_00_03_26_Pro (2).jpg,Palm
D:\Downloadf\gestures_resized\gestures\03_fist\Right\frame_09_03_0033.png,Fist
D:\Downloadf\gestures_resized\gestures\10_down\frame_02_10_0189.png,Palm
D:\Downloadf\gestures_resized\gestures\03_fist\frame_05_03_0083.png,Fist
D:\Downloadf\gestures_resized\gestures\01_palm\frame_09_01_0158.png,Palm
D:\Downloadf\gestures_resized\gestures\04_fist_moved\frame_02_04_0030.png,Fist
D:\Downloadf\gestures_resized\gestures\04_fist_moved\frame_06_04_0003.png,Fist
